순위,곡명,가수,앨범
1,사진을 보다가,다비치,사진을 보다가 (REVIBE Vol.2)
2,신호등,이무진,신호등
3,Queendom,Red Velvet (레드벨벳),Queendom - The 6th Mini Album
4,낙하 (With 아이유),AKMU (악뮤),NEXT EPISODE
5,바라만 본다,MSG워너비 (M.O.M),MSG워너비 1집
6,Weekend,태연 (TAEYEON),Weekend
7,Next Level,aespa,Next Level
8,Permission to Dance,방탄소년단,Butter / Permission to Dance
9,OHAYO MY NIGHT,디핵 (D-Hack) & PATEKO,OHAYO MY NIGHT
10,좋아좋아,조정석,슬기로운 의사생활 시즌2 OST Part 5 (tvN 목요드라마)
11,Stay,The Kid LAROI & Justin Bieber,Stay
12,Butter,방탄소년단,Butter
13,Bad Habits,Ed Sheeran,Bad Habits
14,DUMB DUMB,전소미,DUMB DUMB
15,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,Justice
16,비와 당신,이무진,슬기로운 의사생활 시즌2 OST Part 1 (tvN 목요드라마)
17,Dynamite,방탄소년단,Dynamite (DayTime Ver.)
18,헤픈 우연,헤이즈 (Heize),HAPPEN
19,롤린 (Rollin'),브레이브걸스 (Brave girls),Rollin'
20,치맛바람 (Chi Mat Ba Ram),브레이브걸스 (Brave girls),Summer Queen
21,라일락,아이유 (IU),IU 5th Album 'LILAC'
22,고백,10CM,두 번째 '고백'
23,비가 오는 날엔 (2021),헤이즈 (Heize),비가 오는 날엔 (2021)
24,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL
25,하루만 더,빅마마 (Big Mama),하루만 더
26,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
27,Alcohol-Free,TWICE (트와이스),Taste of Love
28,다정히 내 이름을 부르면,경서예지 & 전건호,다정히 내 이름을 부르면 (경서예지 x 전건호)
29,Celebrity,아이유 (IU),IU 5th Album 'LILAC'
30,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685 & Jason Derulo & 방탄소년단,Savage Love (Laxed - Siren Beat) (BTS Remix)
31,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA
32,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),비 오는 날 듣기 좋은 노래
33,안녕 (Hello),조이 (JOY),안녕 (Hello) - Special Album
34,Blueming,아이유 (IU),Love poem
35,나를 아는 사람,MSG워너비 (정상동기),MSG워너비 1집
36,운전만해 (We Ride),브레이브걸스 (Brave girls),We Ride
37,별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아
38,ASAP,STAYC (스테이씨),STAYDOM
39,상상더하기,라붐 (LABOUM),Fresh Adventure
40,HERO,임영웅,HERO
41,여전히 아름다운지,세븐틴 (SEVENTEEN),슬기로운 의사생활 시즌2 OST Part 8 (tvN 목요드라마)
42,어푸 (Ah puh),아이유 (IU),IU 5th Album 'LILAC'
43,다시 사랑한다면 (김필 Ver.),임영웅,사랑의 콜센타 PART56
44,사이렌 Remix (Feat. UNEDUCATED KID & Paul Blanco),호미들,사이렌 Remix
45,Timeless,SG워너비,Wanna Be＋
46,At My Worst,Pink Sweat$,The Prelude
47,가을 우체국 앞에서,김대명,슬기로운 의사생활 시즌2 OST Part 2 (tvN 목요드라마)
48,에잇 (Prod. & Feat. SUGA of BTS),아이유 (IU),에잇
49,사랑하니까 (2021),이보람 (씨야),사랑하니까 (2021)
50,추적이는 여름 비가 되어,장범준,장범준 싱글
51,아로하,조정석,슬기로운 의사생활 OST Part 3 (tvN 목요드라마)
52,내 손을 잡아,아이유 (IU),최고의 사랑 OST Part.4 (MBC 수목드라마)
53,끝사랑,임영웅,사랑의 콜센타 PART61
54,METEOR,창모 (CHANGMO),Boyhood
55,Off My Face,Justin Bieber,Justice
56,그대라는 사치,임영웅,사랑의 콜센타 PART62
57,Life Goes On,방탄소년단,BE
58,2002,Anne-Marie,Speak Your Mind (Deluxe)
59,상상더하기,MSG워너비,MSG워너비 TOP 8 경연곡
60,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3 (JTBC 금토 드라마)
61,Bk Love,임영웅,뽕숭아학당 PART23
62,슈퍼스타,미도와 파라솔,슬기로운 의사생활 시즌2 OST Part 6 (tvN 목요드라마)
